City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Pecos,US,84.29,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
192,Narasannapeta,IN,83.71,overcast clouds,18.4167,84.05,G.lingaraju home
193,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
194,Carutapera,BR,83.77,few clouds,-1.195,-46.02,Lidera
196,Karasjok,NO,75.31,clear sky,69.4719,25.5112,Karasjok camping AS
197,Hargeysa,SO,78.3,moderate rain,9.56,44.065,City Center Hotel
198,Along,IN,77.43,overcast clouds,28.1667,94.7667,Hotel West
203,Malanje,AO,85.62,overcast clouds,-9.5402,16.341,Malanje Hotel
204,Rio Grande,BR,78.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
205,Goderich,CA,75.2,overcast clouds,43.7501,-81.7165,Harmony Inn
209,Gigmoto,PH,81.55,overcast clouds,13.7796,124.39,Cj's Travellers Inn
213,Kutum,SD,75.92,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
215,Luwuk,ID,75.87,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
222,Kudahuvadhoo,MV,83.84,light rain,2.6708,72.8944,Niyama Private Islands Maldives
229,Manono,CD,86.9,few clouds,-7.3,27.4167,Hotel hewa bora
230,Carbonia,IT,88.75,overcast clouds,39.1672,8.5222,Lu 'Hotel
233,Lubango,AO,75.33,overcast clouds,-14.9172,13.4925,Hotel Serra da Chela
235,Bang Sai,TH,87.01,light rain,14.2124,100.4966,แพ สนามชัย บางไทร อยุธยา ตกปลา fishing
236,Ganzhou,CN,82.33,light rain,28.8184,115.4327,Laotou Farm Restaurant Hostel
237,La Primavera,CO,86.34,scattered clouds,5.4906,-70.4092,La Riviera Hotel Colonial
238,Lumphat,KH,76.17,overcast clouds,13.4878,106.9816,Lumphat Homestay
240,Bengkulu,ID,76.87,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
241,Agadir,MA,81.05,clear sky,30.4202,-9.5982,Iberostar Founty Beach
