City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
152,Saint-Philippe,RE,-21.3585,55.7679,69.39,81,41,8.93,scattered clouds,2021-08-08 15:41:41
153,Kaitangata,NZ,-46.2817,169.8464,34.32,93,78,8.52,light rain,2021-08-08 15:41:41
154,Bull Savanna,JM,17.8868,-77.5902,85.14,58,11,7.14,few clouds,2021-08-08 15:41:41
155,Xapuri,BR,-10.6517,-68.5044,88.45,24,14,2.82,few clouds,2021-08-08 15:41:42
156,Plettenberg Bay,ZA,-34.0527,23.3716,58.66,78,66,5.23,broken clouds,2021-08-08 15:41:42
157,Batagay,RU,67.6333,134.6333,63.91,45,36,2.98,scattered clouds,2021-08-08 15:41:42
158,Port Elizabeth,ZA,-33.918,25.5701,61.09,88,40,31.07,scattered clouds,2021-08-08 15:31:58
159,Phek,IN,25.6667,94.5,62.58,99,94,1.39,overcast clouds,2021-08-08 15:41:43
160,Gull Lake,CA,50.1001,-108.4847,59.36,41,64,12.82,broken clouds,2021-08-08 15:41:43
161,Mudgee,AU,-32.5943,149.5871,48.61,87,90,4.61,overcast clouds,2021-08-08 15:41:44
162,Lorengau,PG,-2.0226,147.2712,80.76,80,55,10.18,broken clouds,2021-08-08 15:41:44
163,Norfolk,US,42.1668,-71.2495,83.55,71,20,1.01,few clouds,2021-08-08 15:41:44
164,Griffith,US,41.5284,-87.4237,85.89,73,1,1.01,clear sky,2021-08-08 15:41:45
165,Fairbanks,US,64.8378,-147.7164,56.61,91,75,5.75,broken clouds,2021-08-08 15:39:49
166,Kruisfontein,ZA,-34.0033,24.7314,63.88,74,97,13.33,overcast clouds,2021-08-08 15:41:46
167,Acari,PE,-15.4311,-74.6158,70.27,61,57,8.84,broken clouds,2021-08-08 15:41:46
168,Isla Mujeres,MX,21.2311,-86.731,87.85,66,58,9.93,broken clouds,2021-08-08 15:41:46
169,Ugoofaaru,MV,5.6667,73.0,81.61,72,100,18.05,overcast clouds,2021-08-08 15:32:14
170,Kalengwa,ZM,-13.4659,25.0027,77.11,17,0,6.08,clear sky,2021-08-08 15:41:47
171,Port Macquarie,AU,-31.4333,152.9167,51.76,63,96,3.42,overcast clouds,2021-08-08 15:31:26
172,Upernavik,GL,72.7868,-56.1549,40.35,86,86,4.68,overcast clouds,2021-08-08 15:41:47
173,Babushkin,RU,51.7122,105.8647,58.17,70,50,9.71,scattered clouds,2021-08-08 15:41:48
174,College,US,64.8569,-147.8028,56.59,91,75,5.75,broken clouds,2021-08-08 15:41:48
175,Buala,SB,-8.145,159.5921,78.03,80,89,1.05,overcast clouds,2021-08-08 15:41:49
176,Wonthaggi,AU,-38.6044,145.5913,50.2,85,84,6.64,broken clouds,2021-08-08 15:41:49
177,Karratha,AU,-20.7377,116.8463,69.24,67,1,4.16,clear sky,2021-08-08 15:41:49
178,Nouadhibou,MR,20.931,-17.0347,76.98,69,0,20.71,clear sky,2021-08-08 15:41:50
179,Lasa,IT,46.6166,10.7002,76.91,84,85,3.33,overcast clouds,2021-08-08 15:33:46
180,Mogadishu,SO,2.0371,45.3438,76.69,86,25,21.34,scattered clouds,2021-08-08 15:33:40
181,Saskylakh,RU,71.9167,114.0833,59.07,61,95,10.8,overcast clouds,2021-08-08 15:32:25
182,Teguise,ES,29.0605,-13.564,77.22,50,20,18.41,few clouds,2021-08-08 15:41:50
183,Khandbari,NP,27.3747,87.2039,72.43,94,80,0.43,broken clouds,2021-08-08 15:41:50
184,Norman Wells,CA,65.282,-126.8329,48.24,81,90,3.44,overcast clouds,2021-08-08 15:32:55
185,Walvis Bay,NA,-22.9575,14.5053,67.15,55,5,17.27,clear sky,2021-08-08 15:41:51
186,El Alto,PE,-4.2714,-81.2147,69.46,62,5,13.73,clear sky,2021-08-08 15:41:51
187,Darhan,MN,49.4867,105.9228,56.39,81,2,2.86,clear sky,2021-08-08 15:41:52
188,Cocorit,MX,27.5833,-109.9667,86.34,65,95,7.25,overcast clouds,2021-08-08 15:41:52
189,Chake Chake,TZ,-5.2459,39.7666,73.76,77,16,9.4,few clouds,2021-08-08 15:41:52
190,Puntarenas,CR,9.9763,-84.8384,87.73,69,12,3.83,few clouds,2021-08-08 15:39:24
191,Pecos,US,31.4229,-103.4932,84.29,48,1,0.0,clear sky,2021-08-08 15:41:53
192,Narasannapeta,IN,18.4167,84.05,83.71,81,86,7.05,overcast clouds,2021-08-08 15:41:53
193,Ambon,ID,-3.6954,128.1814,75.34,100,40,3.44,scattered clouds,2021-08-08 15:41:54
194,Carutapera,BR,-1.195,-46.02,83.77,70,13,8.79,few clouds,2021-08-08 15:41:54
195,Pontes E Lacerda,BR,-15.2261,-59.3353,96.64,19,1,8.12,clear sky,2021-08-08 15:41:54
196,Karasjok,NO,69.4719,25.5112,75.31,47,10,14.99,clear sky,2021-08-08 15:41:54
197,Hargeysa,SO,9.56,44.065,78.3,48,77,8.48,moderate rain,2021-08-08 15:41:55
198,Along,IN,28.1667,94.7667,77.43,99,90,1.12,overcast clouds,2021-08-08 15:41:55
199,Nemuro,JP,43.3236,145.575,63.9,91,100,22.48,overcast clouds,2021-08-08 15:41:56
200,San Jeronimo,PE,-11.9472,-75.2829,60.82,32,0,2.71,clear sky,2021-08-08 15:41:56
201,Byron Bay,AU,-28.65,153.6167,58.95,73,100,10.58,overcast clouds,2021-08-08 15:33:45
202,Bonavista,CA,48.6499,-53.1147,69.8,95,99,18.16,light rain,2021-08-08 15:32:55
203,Malanje,AO,-9.5402,16.341,85.62,11,87,3.91,overcast clouds,2021-08-08 15:41:57
204,Rio Grande,BR,-32.035,-52.0986,78.91,66,0,4.25,clear sky,2021-08-08 15:32:23
205,Goderich,CA,43.7501,-81.7165,75.2,78,100,9.22,overcast clouds,2021-08-08 15:41:35
206,La Rochelle,FR,46.1667,-1.15,70.5,64,75,14.97,broken clouds,2021-08-08 15:41:57
207,Aurillac,FR,44.9167,2.45,66.45,59,80,3.91,broken clouds,2021-08-08 15:41:58
208,Ostrovnoy,RU,68.0531,39.5131,60.3,63,45,11.88,scattered clouds,2021-08-08 15:33:24
209,Gigmoto,PH,13.7796,124.39,81.55,83,96,6.38,overcast clouds,2021-08-08 15:41:58
210,Mazagao,BR,-0.115,-51.2894,91.45,45,26,5.1,scattered clouds,2021-08-08 15:41:58
211,Abha,SA,18.2164,42.5053,73.22,73,75,5.75,broken clouds,2021-08-08 15:33:47
212,Mariestad,SE,58.7097,13.8237,60.39,80,99,4.07,moderate rain,2021-08-08 15:41:59
213,Kutum,SD,14.2,24.6667,75.92,52,78,6.78,broken clouds,2021-08-08 15:33:16
214,Saint-Augustin,CA,51.226,-58.6502,65.59,43,74,4.34,broken clouds,2021-08-08 15:33:11
215,Luwuk,ID,-0.9516,122.7875,75.87,89,59,4.23,broken clouds,2021-08-08 15:42:00
216,Nikolskoye,RU,59.7035,30.7861,73.29,80,99,3.31,overcast clouds,2021-08-08 15:42:00
217,Corrente,BR,-3.7367,-43.3394,94.06,28,0,5.66,clear sky,2021-08-08 15:42:01
218,Roald,NO,62.5833,6.1333,73.17,72,0,10.36,clear sky,2021-08-08 15:42:01
219,Te Anau,NZ,-45.4167,167.7167,28.22,97,79,1.39,light snow,2021-08-08 15:42:01
220,Ambilobe,MG,-13.2,49.05,71.35,82,74,2.71,light rain,2021-08-08 15:42:02
